,Generación,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión
166,"(35, 47]",7,7,448718.0
167,"(35, 47]",7,8,227971.0
168,"(35, 47]",7,9,45771.0
169,"(35, 47]",7,10,13337.0
170,"(35, 47]",8,1,32731.0
171,"(35, 47]",8,2,32387.0
172,"(35, 47]",8,3,43303.0
173,"(35, 47]",8,4,110556.0
174,"(35, 47]",8,5,451161.0
175,"(35, 47]",8,6,284670.0
176,"(35, 47]",8,7,302866.0
177,"(35, 47]",8,8,335271.0
178,"(35, 47]",8,9,18113.0
179,"(35, 47]",8,10,24683.0
180,"(35, 47]",9,1,14297.0
181,"(35, 47]",9,2,18435.0
182,"(35, 47]",9,3,12223.0
183,"(35, 47]",9,4,61706.0
184,"(35, 47]",9,5,105175.0
185,"(35, 47]",9,6,142236.0
186,"(35, 47]",9,7,225155.0
187,"(35, 47]",9,8,192945.0
188,"(35, 47]",9,9,35197.0
189,"(35, 47]",9,10,8603.0
190,"(35, 47]",10,1,27992.0
191,"(35, 47]",10,2,12016.0
192,"(35, 47]",10,3,36702.0
193,"(35, 47]",10,4,29305.0
194,"(35, 47]",10,5,108955.0
195,"(35, 47]",10,6,46248.0
196,"(35, 47]",10,7,79401.0
197,"(35, 47]",10,8,102308.0
198,"(35, 47]",10,9,29808.0
199,"(35, 47]",10,10,69894.0
200,"(47, 67]",1,1,1354661.0
201,"(47, 67]",1,2,854891.0
202,"(47, 67]",1,3,1005170.0
203,"(47, 67]",1,4,615773.0
204,"(47, 67]",1,5,923578.0
205,"(47, 67]",1,6,214773.0
206,"(47, 67]",1,7,104334.0
207,"(47, 67]",1,8,82087.0
208,"(47, 67]",1,9,9455.0
209,"(47, 67]",1,10,37446.0
210,"(47, 67]",2,1,159770.0
211,"(47, 67]",2,2,232233.0
212,"(47, 67]",2,3,452467.0
213,"(47, 67]",2,4,712804.0
214,"(47, 67]",2,5,982611.0
215,"(47, 67]",2,6,303281.0
216,"(47, 67]",2,7,180611.0
217,"(47, 67]",2,8,59577.0
218,"(47, 67]",2,9,15340.0
219,"(47, 67]",2,10,7274.0
220,"(47, 67]",3,1,75126.0
221,"(47, 67]",3,2,125326.0
222,"(47, 67]",3,3,345624.0
223,"(47, 67]",3,4,368196.0
224,"(47, 67]",3,5,1195318.0
225,"(47, 67]",3,6,475339.0
226,"(47, 67]",3,7,278173.0
227,"(47, 67]",3,8,98535.0
228,"(47, 67]",3,9,9453.0
229,"(47, 67]",3,10,9088.0
230,"(47, 67]",4,1,48848.0
231,"(47, 67]",4,2,83080.0
232,"(47, 67]",4,3,73891.0
233,"(47, 67]",4,4,346442.0
234,"(47, 67]",4,5,530959.0
235,"(47, 67]",4,6,493484.0
236,"(47, 67]",4,7,381752.0
237,"(47, 67]",4,8,95296.0
238,"(47, 67]",4,9,9759.0
239,"(47, 67]",4,10,4110.0
240,"(47, 67]",5,1,110039.0
241,"(47, 67]",5,2,65557.0
242,"(47, 67]",5,3,144372.0
243,"(47, 67]",5,4,174084.0
244,"(47, 67]",5,5,645345.0
245,"(47, 67]",5,6,241076.0
246,"(47, 67]",5,7,491289.0
247,"(47, 67]",5,8,201538.0
248,"(47, 67]",5,9,11665.0
249,"(47, 67]",5,10,29236.0
250,"(47, 67]",6,1,36775.0
251,"(47, 67]",6,2,25970.0
252,"(47, 67]",6,3,78652.0
253,"(47, 67]",6,4,179746.0
254,"(47, 67]",6,5,204623.0
255,"(47, 67]",6,6,378366.0
256,"(47, 67]",6,7,230237.0
257,"(47, 67]",6,8,204339.0
258,"(47, 67]",6,9,21264.0
259,"(47, 67]",6,10,23715.0
260,"(47, 67]",7,1,21728.0
261,"(47, 67]",7,2,26470.0
262,"(47, 67]",7,3,42204.0
263,"(47, 67]",7,4,144449.0
264,"(47, 67]",7,5,242022.0
265,"(47, 67]",7,6,163571.0
266,"(47, 67]",7,7,269335.0
267,"(47, 67]",7,8,147710.0
268,"(47, 67]",7,9,23679.0
269,"(47, 67]",7,10,12654.0
270,"(47, 67]",8,1,63876.0
271,"(47, 67]",8,2,56340.0
272,"(47, 67]",8,3,66155.0
273,"(47, 67]",8,4,130546.0
274,"(47, 67]",8,5,285840.0
275,"(47, 67]",8,6,241311.0
276,"(47, 67]",8,7,184207.0
277,"(47, 67]",8,8,207996.0
278,"(47, 67]",8,9,33480.0
279,"(47, 67]",8,10,23238.0
280,"(47, 67]",9,1,5535.0
281,"(47, 67]",9,2,29714.0
282,"(47, 67]",9,3,10676.0
283,"(47, 67]",9,4,28799.0
284,"(47, 67]",9,5,100043.0
285,"(47, 67]",9,6,58686.0
286,"(47, 67]",9,7,128554.0
287,"(47, 67]",9,8,91558.0
288,"(47, 67]",9,9,15843.0
289,"(47, 67]",9,10,1056.0
290,"(47, 67]",10,1,35769.0
291,"(47, 67]",10,2,13997.0
292,"(47, 67]",10,3,12523.0
293,"(47, 67]",10,4,29043.0
294,"(47, 67]",10,5,84736.0
295,"(47, 67]",10,6,59462.0
296,"(47, 67]",10,7,44631.0
297,"(47, 67]",10,8,44163.0
298,"(47, 67]",10,9,19071.0
299,"(47, 67]",10,10,52232.0
