,Estrato_Socioeconómico,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión
229,Medio alto,4,5,442519
230,Medio alto,4,6,425510
231,Medio alto,4,7,280206
232,Medio alto,4,8,101725
233,Medio alto,4,9,8739
234,Medio alto,5,1,46949
235,Medio alto,5,2,23812
236,Medio alto,5,3,94681
237,Medio alto,5,4,141220
238,Medio alto,5,5,730333
239,Medio alto,5,6,330449
240,Medio alto,5,7,602367
241,Medio alto,5,8,246740
242,Medio alto,5,9,18411
243,Medio alto,5,10,11328
244,Medio alto,6,1,13637
245,Medio alto,6,2,11774
246,Medio alto,6,3,53971
247,Medio alto,6,4,123202
248,Medio alto,6,5,199008
249,Medio alto,6,6,335674
250,Medio alto,6,7,362514
251,Medio alto,6,8,300348
252,Medio alto,6,9,17741
253,Medio alto,6,10,7237
254,Medio alto,7,1,2559
255,Medio alto,7,2,17369
256,Medio alto,7,3,26841
257,Medio alto,7,4,142448
258,Medio alto,7,5,321263
259,Medio alto,7,6,234876
260,Medio alto,7,7,483528
261,Medio alto,7,8,212232
262,Medio alto,7,9,18563
263,Medio alto,7,10,5962
264,Medio alto,8,1,19187
265,Medio alto,8,2,13442
266,Medio alto,8,3,30466
267,Medio alto,8,4,94216
268,Medio alto,8,5,316546
269,Medio alto,8,6,345722
270,Medio alto,8,7,339839
271,Medio alto,8,8,362512
272,Medio alto,8,9,45473
273,Medio alto,8,10,11977
274,Medio alto,9,1,14289
275,Medio alto,9,2,15429
276,Medio alto,9,3,13212
277,Medio alto,9,4,35373
278,Medio alto,9,5,88408
279,Medio alto,9,6,113175
280,Medio alto,9,7,183662
281,Medio alto,9,8,156082
282,Medio alto,9,9,31143
283,Medio alto,9,10,3001
284,Medio alto,10,1,25477
285,Medio alto,10,2,7932
286,Medio alto,10,3,15750
287,Medio alto,10,4,13977
288,Medio alto,10,5,83821
289,Medio alto,10,6,65916
290,Medio alto,10,7,60273
291,Medio alto,10,8,67267
292,Medio alto,10,9,19462
293,Medio alto,10,10,24352
294,Medio bajo,1,1,1185945
295,Medio bajo,1,2,934039
296,Medio bajo,1,3,1241843
297,Medio bajo,1,4,764639
298,Medio bajo,1,5,1005120
299,Medio bajo,1,6,244422
300,Medio bajo,1,7,125459
301,Medio bajo,1,8,83680
302,Medio bajo,1,9,23623
303,Medio bajo,1,10,39019
304,Medio bajo,2,1,211189
305,Medio bajo,2,2,443689
306,Medio bajo,2,3,646695
307,Medio bajo,2,4,1054953
308,Medio bajo,2,5,1273893
309,Medio bajo,2,6,401992
310,Medio bajo,2,7,201572
311,Medio bajo,2,8,48183
312,Medio bajo,2,9,17361
313,Medio bajo,2,10,1599
314,Medio bajo,3,1,126920
315,Medio bajo,3,2,193792
316,Medio bajo,3,3,475036
317,Medio bajo,3,4,773354
318,Medio bajo,3,5,2118818
319,Medio bajo,3,6,692434
320,Medio bajo,3,7,384548
321,Medio bajo,3,8,154481
322,Medio bajo,3,9,20488
323,Medio bajo,3,10,6107
324,Medio bajo,4,1,122711
325,Medio bajo,4,2,123960
326,Medio bajo,4,3,143424
327,Medio bajo,4,4,589729
328,Medio bajo,4,5,1069756
329,Medio bajo,4,6,1034969
330,Medio bajo,4,7,645541
331,Medio bajo,4,8,224988
332,Medio bajo,4,9,5657
333,Medio bajo,4,10,9978
334,Medio bajo,5,1,182001
335,Medio bajo,5,2,120301
336,Medio bajo,5,3,264150
337,Medio bajo,5,4,285333
338,Medio bajo,5,5,1501233
339,Medio bajo,5,6,657739
340,Medio bajo,5,7,943781
341,Medio bajo,5,8,344743
342,Medio bajo,5,9,23248
343,Medio bajo,5,10,12166
344,Medio bajo,6,1,78542
345,Medio bajo,6,2,57135
346,Medio bajo,6,3,174115
347,Medio bajo,6,4,366482
348,Medio bajo,6,5,334045
349,Medio bajo,6,6,640604
350,Medio bajo,6,7,353278
351,Medio bajo,6,8,435894
352,Medio bajo,6,9,21640
353,Medio bajo,6,10,14313
354,Medio bajo,7,1,38231
355,Medio bajo,7,2,39896
356,Medio bajo,7,3,92639
357,Medio bajo,7,4,229229
358,Medio bajo,7,5,551204
359,Medio bajo,7,6,271670
360,Medio bajo,7,7,515023
361,Medio bajo,7,8,274556
362,Medio bajo,7,9,45729
363,Medio bajo,7,10,14856
364,Medio bajo,8,1,83643
365,Medio bajo,8,2,81773
366,Medio bajo,8,3,113410
367,Medio bajo,8,4,171236
368,Medio bajo,8,5,646383
