,Origen_Racial,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión
223,Mestiza,3,7,473844
224,Mestiza,3,8,135292
225,Mestiza,3,9,11039
226,Mestiza,3,10,8813
227,Mestiza,4,1,129626
228,Mestiza,4,2,112319
229,Mestiza,4,3,127925
230,Mestiza,4,4,579280
231,Mestiza,4,5,1349960
232,Mestiza,4,6,1277458
233,Mestiza,4,7,791061
234,Mestiza,4,8,305291
235,Mestiza,4,9,7747
236,Mestiza,4,10,3146
237,Mestiza,5,1,146036
238,Mestiza,5,2,103891
239,Mestiza,5,3,283181
240,Mestiza,5,4,393193
241,Mestiza,5,5,1886994
242,Mestiza,5,6,886934
243,Mestiza,5,7,1415921
244,Mestiza,5,8,535114
245,Mestiza,5,9,46184
246,Mestiza,5,10,9757
247,Mestiza,6,1,48975
248,Mestiza,6,2,61802
249,Mestiza,6,3,168166
250,Mestiza,6,4,410585
251,Mestiza,6,5,505507
252,Mestiza,6,6,842211
253,Mestiza,6,7,724741
254,Mestiza,6,8,632368
255,Mestiza,6,9,29844
256,Mestiza,6,10,22054
257,Mestiza,7,1,31405
258,Mestiza,7,2,47953
259,Mestiza,7,3,91623
260,Mestiza,7,4,239894
261,Mestiza,7,5,753741
262,Mestiza,7,6,509153
263,Mestiza,7,7,911965
264,Mestiza,7,8,487415
265,Mestiza,7,9,51500
266,Mestiza,7,10,19359
267,Mestiza,8,1,65952
268,Mestiza,8,2,47031
269,Mestiza,8,3,95660
270,Mestiza,8,4,204337
271,Mestiza,8,5,816215
272,Mestiza,8,6,685931
273,Mestiza,8,7,727731
274,Mestiza,8,8,673403
275,Mestiza,8,9,59455
276,Mestiza,8,10,39858
277,Mestiza,9,1,24601
278,Mestiza,9,2,33602
279,Mestiza,9,3,20815
280,Mestiza,9,4,81509
281,Mestiza,9,5,187947
282,Mestiza,9,6,180260
283,Mestiza,9,7,450209
284,Mestiza,9,8,251004
285,Mestiza,9,9,66696
286,Mestiza,9,10,7169
287,Mestiza,10,1,39725
288,Mestiza,10,2,14742
289,Mestiza,10,3,38418
290,Mestiza,10,4,48191
291,Mestiza,10,5,174022
292,Mestiza,10,6,119253
293,Mestiza,10,7,123206
294,Mestiza,10,8,166465
295,Mestiza,10,9,50182
296,Mestiza,10,10,60686
297,Negra o Mulata,1,1,151131
298,Negra o Mulata,1,2,76311
299,Negra o Mulata,1,3,79918
300,Negra o Mulata,1,4,52424
301,Negra o Mulata,1,5,23146
302,Negra o Mulata,1,6,14401
303,Negra o Mulata,1,7,3677
304,Negra o Mulata,1,10,1836
305,Negra o Mulata,2,1,6881
306,Negra o Mulata,2,2,28666
307,Negra o Mulata,2,3,28106
308,Negra o Mulata,2,4,47803
309,Negra o Mulata,2,5,72799
310,Negra o Mulata,2,6,10332
311,Negra o Mulata,2,7,10013
312,Negra o Mulata,2,8,2470
313,Negra o Mulata,3,1,9568
314,Negra o Mulata,3,2,7993
315,Negra o Mulata,3,3,25851
316,Negra o Mulata,3,4,11580
317,Negra o Mulata,3,5,68765
318,Negra o Mulata,3,6,12337
319,Negra o Mulata,3,7,13340
320,Negra o Mulata,3,8,2544
321,Negra o Mulata,3,10,1047
322,Negra o Mulata,4,1,1986
323,Negra o Mulata,4,2,2082
324,Negra o Mulata,4,3,14392
325,Negra o Mulata,4,4,14226
326,Negra o Mulata,4,5,44945
327,Negra o Mulata,4,6,31186
328,Negra o Mulata,4,7,60928
329,Negra o Mulata,4,8,25664
330,Negra o Mulata,5,1,13479
331,Negra o Mulata,5,2,1563
332,Negra o Mulata,5,3,616
333,Negra o Mulata,5,4,11103
334,Negra o Mulata,5,5,49947
335,Negra o Mulata,5,6,51011
336,Negra o Mulata,5,7,49113
337,Negra o Mulata,5,8,15076
338,Negra o Mulata,5,9,1094
339,Negra o Mulata,5,10,9459
340,Negra o Mulata,6,1,639
341,Negra o Mulata,6,2,5118
342,Negra o Mulata,6,3,9657
343,Negra o Mulata,6,4,6355
344,Negra o Mulata,6,5,23322
345,Negra o Mulata,6,6,47026
346,Negra o Mulata,6,7,25594
347,Negra o Mulata,6,8,19823
348,Negra o Mulata,6,9,3644
349,Negra o Mulata,6,10,2065
350,Negra o Mulata,7,2,1670
351,Negra o Mulata,7,3,643
352,Negra o Mulata,7,4,40864
353,Negra o Mulata,7,5,10223
354,Negra o Mulata,7,6,12803
355,Negra o Mulata,7,7,25992
356,Negra o Mulata,7,8,8961
357,Negra o Mulata,7,9,3042
358,Negra o Mulata,7,10,1858
359,Negra o Mulata,8,1,3194
360,Negra o Mulata,8,3,2706
361,Negra o Mulata,8,4,2492
362,Negra o Mulata,8,5,33665
363,Negra o Mulata,8,6,24324
364,Negra o Mulata,8,7,17443
365,Negra o Mulata,8,8,12736
366,Negra o Mulata,8,9,9201
367,Negra o Mulata,8,10,4207
368,Negra o Mulata,9,5,5662
369,Negra o Mulata,9,6,4954
370,Negra o Mulata,9,7,14656
371,Negra o Mulata,9,8,23326
372,Negra o Mulata,10,2,2764
373,Negra o Mulata,10,3,878
374,Negra o Mulata,10,4,1748
375,Negra o Mulata,10,5,12430
376,Negra o Mulata,10,6,3570
377,Negra o Mulata,10,7,5241
378,Negra o Mulata,10,8,6832
379,Negra o Mulata,10,10,1094
380,No sabe,1,1,514022
381,No sabe,1,2,239019
382,No sabe,1,3,291256
383,No sabe,1,4,104527
384,No sabe,1,5,217719
385,No sabe,1,6,33234
386,No sabe,1,7,12860
387,No sabe,1,8,24840
388,No sabe,1,9,4767
389,No sabe,1,10,2799
390,No sabe,2,1,26997
391,No sabe,2,2,100882
392,No sabe,2,3,165365
393,No sabe,2,4,221269
394,No sabe,2,5,205852
395,No sabe,2,6,55244
396,No sabe,2,7,12397
397,No sabe,2,8,14800
398,No sabe,2,9,6975
399,No sabe,3,1,18177
400,No sabe,3,2,52785
401,No sabe,3,3,81469
402,No sabe,3,4,130415
403,No sabe,3,5,385666
404,No sabe,3,6,95002
405,No sabe,3,7,69812
406,No sabe,3,8,11187
407,No sabe,3,9,1867
408,No sabe,3,10,912
409,No sabe,4,1,17784
410,No sabe,4,2,32505
411,No sabe,4,3,33528
412,No sabe,4,4,133533
413,No sabe,4,5,198712
414,No sabe,4,6,142254
415,No sabe,4,7,97060
416,No sabe,4,8,29776
417,No sabe,4,9,1181
418,No sabe,4,10,3488
419,No sabe,5,1,38515
420,No sabe,5,2,25356
421,No sabe,5,3,68006
422,No sabe,5,4,60323
423,No sabe,5,5,311093
424,No sabe,5,6,75659
425,No sabe,5,7,178278
426,No sabe,5,8,87466
427,No sabe,5,9,3509
428,No sabe,5,10,7285
429,No sabe,6,1,20059
430,No sabe,6,2,10115
431,No sabe,6,3,36299
432,No sabe,6,4,56592
433,No sabe,6,5,44243
434,No sabe,6,6,88559
435,No sabe,6,7,59332
436,No sabe,6,8,59791
437,No sabe,6,10,8397
438,No sabe,7,1,15084
439,No sabe,7,2,17026
440,No sabe,7,3,6419
441,No sabe,7,4,43817
442,No sabe,7,5,134167
443,No sabe,7,6,51377
444,No sabe,7,7,84207
445,No sabe,7,8,57147
