,Varible,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión,Demográfico
143,Indígena,5,6,122669,Origen_Racial
144,Indígena,5,7,106777,Origen_Racial
145,Indígena,5,8,70857,Origen_Racial
146,Indígena,5,9,2866,Origen_Racial
147,Indígena,5,10,8383,Origen_Racial
148,Indígena,6,1,15764,Origen_Racial
149,Indígena,6,2,23899,Origen_Racial
150,Indígena,6,3,39366,Origen_Racial
151,Indígena,6,4,47444,Origen_Racial
152,Indígena,6,5,89947,Origen_Racial
153,Indígena,6,6,109981,Origen_Racial
154,Indígena,6,7,65386,Origen_Racial
155,Indígena,6,8,89778,Origen_Racial
156,Indígena,6,9,8125,Origen_Racial
157,Indígena,6,10,1996,Origen_Racial
158,Indígena,7,1,13167,Origen_Racial
159,Indígena,7,2,8129,Origen_Racial
160,Indígena,7,3,25872,Origen_Racial
161,Indígena,7,4,54244,Origen_Racial
162,Indígena,7,5,73675,Origen_Racial
163,Indígena,7,6,38417,Origen_Racial
164,Indígena,7,7,51943,Origen_Racial
165,Indígena,7,8,47194,Origen_Racial
166,Indígena,7,9,2965,Origen_Racial
167,Indígena,7,10,7928,Origen_Racial
168,Indígena,8,1,22598,Origen_Racial
169,Indígena,8,2,37568,Origen_Racial
170,Indígena,8,3,18195,Origen_Racial
171,Indígena,8,4,35683,Origen_Racial
172,Indígena,8,5,94866,Origen_Racial
173,Indígena,8,6,57604,Origen_Racial
174,Indígena,8,7,50648,Origen_Racial
175,Indígena,8,8,56071,Origen_Racial
176,Indígena,8,9,3898,Origen_Racial
177,Indígena,8,10,10451,Origen_Racial
178,Indígena,9,1,1345,Origen_Racial
179,Indígena,9,2,7234,Origen_Racial
180,Indígena,9,3,6129,Origen_Racial
181,Indígena,9,4,8402,Origen_Racial
182,Indígena,9,5,13145,Origen_Racial
183,Indígena,9,6,39115,Origen_Racial
184,Indígena,9,7,27098,Origen_Racial
185,Indígena,9,8,19033,Origen_Racial
186,Indígena,9,10,3703,Origen_Racial
187,Indígena,10,1,22887,Origen_Racial
188,Indígena,10,2,4904,Origen_Racial
189,Indígena,10,3,1893,Origen_Racial
190,Indígena,10,4,5802,Origen_Racial
191,Indígena,10,5,25911,Origen_Racial
192,Indígena,10,6,16112,Origen_Racial
193,Indígena,10,7,23576,Origen_Racial
194,Indígena,10,8,10405,Origen_Racial
195,Indígena,10,9,665,Origen_Racial
196,Indígena,10,10,19866,Origen_Racial
197,Mestiza,1,1,965216,Origen_Racial
198,Mestiza,1,2,854298,Origen_Racial
199,Mestiza,1,3,1190042,Origen_Racial
200,Mestiza,1,4,745910,Origen_Racial
201,Mestiza,1,5,987468,Origen_Racial
202,Mestiza,1,6,264447,Origen_Racial
203,Mestiza,1,7,121295,Origen_Racial
204,Mestiza,1,8,60118,Origen_Racial
205,Mestiza,1,9,19627,Origen_Racial
206,Mestiza,1,10,19041,Origen_Racial
207,Mestiza,2,1,201881,Origen_Racial
208,Mestiza,2,2,407097,Origen_Racial
209,Mestiza,2,3,637757,Origen_Racial
210,Mestiza,2,4,1131764,Origen_Racial
211,Mestiza,2,5,1403223,Origen_Racial
212,Mestiza,2,6,485648,Origen_Racial
213,Mestiza,2,7,225845,Origen_Racial
214,Mestiza,2,8,64462,Origen_Racial
215,Mestiza,2,9,18481,Origen_Racial
216,Mestiza,2,10,8733,Origen_Racial
217,Mestiza,3,1,126578,Origen_Racial
218,Mestiza,3,2,157842,Origen_Racial
219,Mestiza,3,3,480682,Origen_Racial
220,Mestiza,3,4,837568,Origen_Racial
221,Mestiza,3,5,2483280,Origen_Racial
222,Mestiza,3,6,772923,Origen_Racial
223,Mestiza,3,7,473844,Origen_Racial
224,Mestiza,3,8,135292,Origen_Racial
225,Mestiza,3,9,11039,Origen_Racial
226,Mestiza,3,10,8813,Origen_Racial
227,Mestiza,4,1,129626,Origen_Racial
228,Mestiza,4,2,112319,Origen_Racial
229,Mestiza,4,3,127925,Origen_Racial
230,Mestiza,4,4,579280,Origen_Racial
231,Mestiza,4,5,1349960,Origen_Racial
232,Mestiza,4,6,1277458,Origen_Racial
233,Mestiza,4,7,791061,Origen_Racial
234,Mestiza,4,8,305291,Origen_Racial
235,Mestiza,4,9,7747,Origen_Racial
236,Mestiza,4,10,3146,Origen_Racial
237,Mestiza,5,1,146036,Origen_Racial
238,Mestiza,5,2,103891,Origen_Racial
239,Mestiza,5,3,283181,Origen_Racial
240,Mestiza,5,4,393193,Origen_Racial
241,Mestiza,5,5,1886994,Origen_Racial
242,Mestiza,5,6,886934,Origen_Racial
243,Mestiza,5,7,1415921,Origen_Racial
244,Mestiza,5,8,535114,Origen_Racial
245,Mestiza,5,9,46184,Origen_Racial
246,Mestiza,5,10,9757,Origen_Racial
247,Mestiza,6,1,48975,Origen_Racial
248,Mestiza,6,2,61802,Origen_Racial
249,Mestiza,6,3,168166,Origen_Racial
250,Mestiza,6,4,410585,Origen_Racial
251,Mestiza,6,5,505507,Origen_Racial
252,Mestiza,6,6,842211,Origen_Racial
253,Mestiza,6,7,724741,Origen_Racial
254,Mestiza,6,8,632368,Origen_Racial
255,Mestiza,6,9,29844,Origen_Racial
256,Mestiza,6,10,22054,Origen_Racial
257,Mestiza,7,1,31405,Origen_Racial
258,Mestiza,7,2,47953,Origen_Racial
259,Mestiza,7,3,91623,Origen_Racial
260,Mestiza,7,4,239894,Origen_Racial
261,Mestiza,7,5,753741,Origen_Racial
262,Mestiza,7,6,509153,Origen_Racial
263,Mestiza,7,7,911965,Origen_Racial
264,Mestiza,7,8,487415,Origen_Racial
265,Mestiza,7,9,51500,Origen_Racial
266,Mestiza,7,10,19359,Origen_Racial
267,Mestiza,8,1,65952,Origen_Racial
268,Mestiza,8,2,47031,Origen_Racial
269,Mestiza,8,3,95660,Origen_Racial
270,Mestiza,8,4,204337,Origen_Racial
271,Mestiza,8,5,816215,Origen_Racial
272,Mestiza,8,6,685931,Origen_Racial
273,Mestiza,8,7,727731,Origen_Racial
274,Mestiza,8,8,673403,Origen_Racial
275,Mestiza,8,9,59455,Origen_Racial
276,Mestiza,8,10,39858,Origen_Racial
277,Mestiza,9,1,24601,Origen_Racial
278,Mestiza,9,2,33602,Origen_Racial
279,Mestiza,9,3,20815,Origen_Racial
280,Mestiza,9,4,81509,Origen_Racial
281,Mestiza,9,5,187947,Origen_Racial
282,Mestiza,9,6,180260,Origen_Racial
283,Mestiza,9,7,450209,Origen_Racial
284,Mestiza,9,8,251004,Origen_Racial
285,Mestiza,9,9,66696,Origen_Racial
286,Mestiza,9,10,7169,Origen_Racial
287,Mestiza,10,1,39725,Origen_Racial
288,Mestiza,10,2,14742,Origen_Racial
289,Mestiza,10,3,38418,Origen_Racial
290,Mestiza,10,4,48191,Origen_Racial
291,Mestiza,10,5,174022,Origen_Racial
292,Mestiza,10,6,119253,Origen_Racial
293,Mestiza,10,7,123206,Origen_Racial
294,Mestiza,10,8,166465,Origen_Racial
295,Mestiza,10,9,50182,Origen_Racial
296,Mestiza,10,10,60686,Origen_Racial
297,Negra o Mulata,1,1,151131,Origen_Racial
298,Negra o Mulata,1,2,76311,Origen_Racial
299,Negra o Mulata,1,3,79918,Origen_Racial
300,Negra o Mulata,1,4,52424,Origen_Racial
301,Negra o Mulata,1,5,23146,Origen_Racial
302,Negra o Mulata,1,6,14401,Origen_Racial
303,Negra o Mulata,1,7,3677,Origen_Racial
304,Negra o Mulata,1,10,1836,Origen_Racial
305,Negra o Mulata,2,1,6881,Origen_Racial
306,Negra o Mulata,2,2,28666,Origen_Racial
307,Negra o Mulata,2,3,28106,Origen_Racial
308,Negra o Mulata,2,4,47803,Origen_Racial
309,Negra o Mulata,2,5,72799,Origen_Racial
310,Negra o Mulata,2,6,10332,Origen_Racial
311,Negra o Mulata,2,7,10013,Origen_Racial
312,Negra o Mulata,2,8,2470,Origen_Racial
313,Negra o Mulata,3,1,9568,Origen_Racial
314,Negra o Mulata,3,2,7993,Origen_Racial
315,Negra o Mulata,3,3,25851,Origen_Racial
316,Negra o Mulata,3,4,11580,Origen_Racial
317,Negra o Mulata,3,5,68765,Origen_Racial
318,Negra o Mulata,3,6,12337,Origen_Racial
319,Negra o Mulata,3,7,13340,Origen_Racial
320,Negra o Mulata,3,8,2544,Origen_Racial
321,Negra o Mulata,3,10,1047,Origen_Racial
322,Negra o Mulata,4,1,1986,Origen_Racial
323,Negra o Mulata,4,2,2082,Origen_Racial
324,Negra o Mulata,4,3,14392,Origen_Racial
325,Negra o Mulata,4,4,14226,Origen_Racial
326,Negra o Mulata,4,5,44945,Origen_Racial
327,Negra o Mulata,4,6,31186,Origen_Racial
328,Negra o Mulata,4,7,60928,Origen_Racial
329,Negra o Mulata,4,8,25664,Origen_Racial
330,Negra o Mulata,5,1,13479,Origen_Racial
331,Negra o Mulata,5,2,1563,Origen_Racial
332,Negra o Mulata,5,3,616,Origen_Racial
333,Negra o Mulata,5,4,11103,Origen_Racial
334,Negra o Mulata,5,5,49947,Origen_Racial
335,Negra o Mulata,5,6,51011,Origen_Racial
336,Negra o Mulata,5,7,49113,Origen_Racial
337,Negra o Mulata,5,8,15076,Origen_Racial
338,Negra o Mulata,5,9,1094,Origen_Racial
339,Negra o Mulata,5,10,9459,Origen_Racial
340,Negra o Mulata,6,1,639,Origen_Racial
341,Negra o Mulata,6,2,5118,Origen_Racial
342,Negra o Mulata,6,3,9657,Origen_Racial
343,Negra o Mulata,6,4,6355,Origen_Racial
344,Negra o Mulata,6,5,23322,Origen_Racial
345,Negra o Mulata,6,6,47026,Origen_Racial
346,Negra o Mulata,6,7,25594,Origen_Racial
347,Negra o Mulata,6,8,19823,Origen_Racial
348,Negra o Mulata,6,9,3644,Origen_Racial
349,Negra o Mulata,6,10,2065,Origen_Racial
350,Negra o Mulata,7,2,1670,Origen_Racial
351,Negra o Mulata,7,3,643,Origen_Racial
352,Negra o Mulata,7,4,40864,Origen_Racial
353,Negra o Mulata,7,5,10223,Origen_Racial
354,Negra o Mulata,7,6,12803,Origen_Racial
355,Negra o Mulata,7,7,25992,Origen_Racial
356,Negra o Mulata,7,8,8961,Origen_Racial
357,Negra o Mulata,7,9,3042,Origen_Racial
358,Negra o Mulata,7,10,1858,Origen_Racial
359,Negra o Mulata,8,1,3194,Origen_Racial
360,Negra o Mulata,8,3,2706,Origen_Racial
