,Generación,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión,Demográfico
168,X,7,9,45771.0,Generación
169,X,7,10,13337.0,Generación
170,X,8,1,32731.0,Generación
171,X,8,2,32387.0,Generación
172,X,8,3,43303.0,Generación
173,X,8,4,110556.0,Generación
174,X,8,5,451161.0,Generación
175,X,8,6,284670.0,Generación
176,X,8,7,302866.0,Generación
177,X,8,8,335271.0,Generación
178,X,8,9,18113.0,Generación
179,X,8,10,24683.0,Generación
180,X,9,1,14297.0,Generación
181,X,9,2,18435.0,Generación
182,X,9,3,12223.0,Generación
183,X,9,4,61706.0,Generación
184,X,9,5,105175.0,Generación
185,X,9,6,142236.0,Generación
186,X,9,7,225155.0,Generación
187,X,9,8,192945.0,Generación
188,X,9,9,35197.0,Generación
189,X,9,10,8603.0,Generación
190,X,10,1,27992.0,Generación
191,X,10,2,12016.0,Generación
192,X,10,3,36702.0,Generación
193,X,10,4,29305.0,Generación
194,X,10,5,108955.0,Generación
195,X,10,6,46248.0,Generación
196,X,10,7,79401.0,Generación
197,X,10,8,102308.0,Generación
198,X,10,9,29808.0,Generación
199,X,10,10,69894.0,Generación
200,Baby Boomers,1,1,1354661.0,Generación
201,Baby Boomers,1,2,854891.0,Generación
202,Baby Boomers,1,3,1005170.0,Generación
203,Baby Boomers,1,4,615773.0,Generación
204,Baby Boomers,1,5,923578.0,Generación
205,Baby Boomers,1,6,214773.0,Generación
206,Baby Boomers,1,7,104334.0,Generación
207,Baby Boomers,1,8,82087.0,Generación
208,Baby Boomers,1,9,9455.0,Generación
209,Baby Boomers,1,10,37446.0,Generación
210,Baby Boomers,2,1,159770.0,Generación
211,Baby Boomers,2,2,232233.0,Generación
212,Baby Boomers,2,3,452467.0,Generación
213,Baby Boomers,2,4,712804.0,Generación
214,Baby Boomers,2,5,982611.0,Generación
215,Baby Boomers,2,6,303281.0,Generación
216,Baby Boomers,2,7,180611.0,Generación
217,Baby Boomers,2,8,59577.0,Generación
218,Baby Boomers,2,9,15340.0,Generación
219,Baby Boomers,2,10,7274.0,Generación
220,Baby Boomers,3,1,75126.0,Generación
221,Baby Boomers,3,2,125326.0,Generación
222,Baby Boomers,3,3,345624.0,Generación
223,Baby Boomers,3,4,368196.0,Generación
224,Baby Boomers,3,5,1195318.0,Generación
225,Baby Boomers,3,6,475339.0,Generación
226,Baby Boomers,3,7,278173.0,Generación
227,Baby Boomers,3,8,98535.0,Generación
228,Baby Boomers,3,9,9453.0,Generación
229,Baby Boomers,3,10,9088.0,Generación
230,Baby Boomers,4,1,48848.0,Generación
231,Baby Boomers,4,2,83080.0,Generación
232,Baby Boomers,4,3,73891.0,Generación
233,Baby Boomers,4,4,346442.0,Generación
234,Baby Boomers,4,5,530959.0,Generación
235,Baby Boomers,4,6,493484.0,Generación
236,Baby Boomers,4,7,381752.0,Generación
237,Baby Boomers,4,8,95296.0,Generación
238,Baby Boomers,4,9,9759.0,Generación
239,Baby Boomers,4,10,4110.0,Generación
240,Baby Boomers,5,1,110039.0,Generación
241,Baby Boomers,5,2,65557.0,Generación
242,Baby Boomers,5,3,144372.0,Generación
243,Baby Boomers,5,4,174084.0,Generación
244,Baby Boomers,5,5,645345.0,Generación
245,Baby Boomers,5,6,241076.0,Generación
246,Baby Boomers,5,7,491289.0,Generación
247,Baby Boomers,5,8,201538.0,Generación
248,Baby Boomers,5,9,11665.0,Generación
249,Baby Boomers,5,10,29236.0,Generación
250,Baby Boomers,6,1,36775.0,Generación
251,Baby Boomers,6,2,25970.0,Generación
252,Baby Boomers,6,3,78652.0,Generación
253,Baby Boomers,6,4,179746.0,Generación
254,Baby Boomers,6,5,204623.0,Generación
255,Baby Boomers,6,6,378366.0,Generación
256,Baby Boomers,6,7,230237.0,Generación
257,Baby Boomers,6,8,204339.0,Generación
258,Baby Boomers,6,9,21264.0,Generación
259,Baby Boomers,6,10,23715.0,Generación
260,Baby Boomers,7,1,21728.0,Generación
261,Baby Boomers,7,2,26470.0,Generación
262,Baby Boomers,7,3,42204.0,Generación
263,Baby Boomers,7,4,144449.0,Generación
264,Baby Boomers,7,5,242022.0,Generación
265,Baby Boomers,7,6,163571.0,Generación
266,Baby Boomers,7,7,269335.0,Generación
267,Baby Boomers,7,8,147710.0,Generación
268,Baby Boomers,7,9,23679.0,Generación
269,Baby Boomers,7,10,12654.0,Generación
270,Baby Boomers,8,1,63876.0,Generación
271,Baby Boomers,8,2,56340.0,Generación
272,Baby Boomers,8,3,66155.0,Generación
273,Baby Boomers,8,4,130546.0,Generación
274,Baby Boomers,8,5,285840.0,Generación
275,Baby Boomers,8,6,241311.0,Generación
276,Baby Boomers,8,7,184207.0,Generación
277,Baby Boomers,8,8,207996.0,Generación
278,Baby Boomers,8,9,33480.0,Generación
279,Baby Boomers,8,10,23238.0,Generación
280,Baby Boomers,9,1,5535.0,Generación
281,Baby Boomers,9,2,29714.0,Generación
282,Baby Boomers,9,3,10676.0,Generación
283,Baby Boomers,9,4,28799.0,Generación
284,Baby Boomers,9,5,100043.0,Generación
285,Baby Boomers,9,6,58686.0,Generación
286,Baby Boomers,9,7,128554.0,Generación
287,Baby Boomers,9,8,91558.0,Generación
288,Baby Boomers,9,9,15843.0,Generación
289,Baby Boomers,9,10,1056.0,Generación
290,Baby Boomers,10,1,35769.0,Generación
291,Baby Boomers,10,2,13997.0,Generación
292,Baby Boomers,10,3,12523.0,Generación
293,Baby Boomers,10,4,29043.0,Generación
294,Baby Boomers,10,5,84736.0,Generación
295,Baby Boomers,10,6,59462.0,Generación
296,Baby Boomers,10,7,44631.0,Generación
297,Baby Boomers,10,8,44163.0,Generación
298,Baby Boomers,10,9,19071.0,Generación
299,Baby Boomers,10,10,52232.0,Generación
