,Variable,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión,Demográfico
176,4,6,3,1978,Color_Piel
177,4,6,4,8390,Color_Piel
178,4,6,5,29084,Color_Piel
179,4,6,6,20206,Color_Piel
180,4,6,7,7837,Color_Piel
181,4,6,8,10557,Color_Piel
182,4,6,9,326,Color_Piel
183,4,7,1,352,Color_Piel
184,4,7,2,4954,Color_Piel
185,4,7,3,5366,Color_Piel
186,4,7,4,10603,Color_Piel
187,4,7,5,13045,Color_Piel
188,4,7,6,11827,Color_Piel
189,4,7,7,27634,Color_Piel
190,4,7,8,15915,Color_Piel
191,4,7,10,6170,Color_Piel
192,4,8,1,1860,Color_Piel
193,4,8,3,5238,Color_Piel
194,4,8,4,4137,Color_Piel
195,4,8,5,39313,Color_Piel
196,4,8,6,7460,Color_Piel
197,4,8,7,16881,Color_Piel
198,4,8,8,29782,Color_Piel
199,4,9,2,2045,Color_Piel
200,4,9,3,1115,Color_Piel
201,4,9,4,4029,Color_Piel
202,4,9,5,16409,Color_Piel
203,4,9,6,7496,Color_Piel
204,4,9,7,5509,Color_Piel
205,4,9,8,1971,Color_Piel
206,4,9,9,2148,Color_Piel
207,4,9,10,1056,Color_Piel
208,4,10,1,6003,Color_Piel
209,4,10,2,4364,Color_Piel
210,4,10,3,888,Color_Piel
211,4,10,4,3107,Color_Piel
212,4,10,5,6616,Color_Piel
213,4,10,7,2121,Color_Piel
214,4,10,8,7086,Color_Piel
215,4,10,10,1094,Color_Piel
216,5,1,1,102490,Color_Piel
217,5,1,2,81232,Color_Piel
218,5,1,3,53892,Color_Piel
219,5,1,4,34818,Color_Piel
220,5,1,5,65273,Color_Piel
221,5,1,6,11091,Color_Piel
222,5,1,7,5902,Color_Piel
223,5,1,8,481,Color_Piel
224,5,1,9,1053,Color_Piel
225,5,2,1,20132,Color_Piel
226,5,2,2,51122,Color_Piel
227,5,2,3,30264,Color_Piel
228,5,2,4,66357,Color_Piel
229,5,2,5,38085,Color_Piel
230,5,2,6,9479,Color_Piel
231,5,2,7,6349,Color_Piel
232,5,2,8,570,Color_Piel
233,5,2,10,2540,Color_Piel
234,5,3,1,10948,Color_Piel
235,5,3,2,4290,Color_Piel
236,5,3,3,33625,Color_Piel
237,5,3,4,53372,Color_Piel
238,5,3,5,58845,Color_Piel
239,5,3,6,23333,Color_Piel
240,5,3,7,14225,Color_Piel
241,5,3,8,19502,Color_Piel
242,5,4,1,4600,Color_Piel
243,5,4,2,4903,Color_Piel
244,5,4,3,11985,Color_Piel
245,5,4,4,38738,Color_Piel
246,5,4,5,45910,Color_Piel
247,5,4,6,34976,Color_Piel
248,5,4,7,15777,Color_Piel
249,5,4,8,25285,Color_Piel
250,5,5,1,9366,Color_Piel
251,5,5,2,7107,Color_Piel
252,5,5,3,6024,Color_Piel
253,5,5,4,37690,Color_Piel
254,5,5,5,101228,Color_Piel
255,5,5,6,44783,Color_Piel
256,5,5,7,53728,Color_Piel
257,5,5,8,13233,Color_Piel
258,5,5,9,3960,Color_Piel
259,5,5,10,7216,Color_Piel
260,5,6,1,496,Color_Piel
261,5,6,2,1404,Color_Piel
262,5,6,3,10336,Color_Piel
263,5,6,4,8699,Color_Piel
264,5,6,5,23589,Color_Piel
265,5,6,6,38711,Color_Piel
266,5,6,7,66616,Color_Piel
267,5,6,8,44476,Color_Piel
268,5,7,2,1062,Color_Piel
269,5,7,3,6042,Color_Piel
270,5,7,4,784,Color_Piel
271,5,7,5,24656,Color_Piel
272,5,7,6,3257,Color_Piel
273,5,7,7,40393,Color_Piel
274,5,7,8,13811,Color_Piel
275,5,7,9,3812,Color_Piel
276,5,8,1,1694,Color_Piel
277,5,8,3,5233,Color_Piel
278,5,8,4,994,Color_Piel
279,5,8,5,1935,Color_Piel
280,5,8,6,18935,Color_Piel
281,5,8,7,33235,Color_Piel
282,5,8,8,25670,Color_Piel
283,5,9,3,1566,Color_Piel
284,5,9,5,9806,Color_Piel
285,5,9,7,1503,Color_Piel
286,5,9,9,694,Color_Piel
287,5,10,1,2963,Color_Piel
288,5,10,2,1343,Color_Piel
289,5,10,3,1065,Color_Piel
290,5,10,4,2118,Color_Piel
291,5,10,5,14122,Color_Piel
292,5,10,6,4940,Color_Piel
293,5,10,7,2782,Color_Piel
294,5,10,8,9601,Color_Piel
295,5,10,10,4853,Color_Piel
296,6,1,1,527723,Color_Piel
297,6,1,2,396097,Color_Piel
298,6,1,3,383137,Color_Piel
299,6,1,4,174626,Color_Piel
300,6,1,5,260516,Color_Piel
301,6,1,6,37545,Color_Piel
302,6,1,7,20288,Color_Piel
303,6,1,8,11781,Color_Piel
304,6,1,9,1645,Color_Piel
305,6,1,10,13138,Color_Piel
306,6,2,1,66868,Color_Piel
307,6,2,2,107553,Color_Piel
308,6,2,3,178665,Color_Piel
309,6,2,4,284923,Color_Piel
310,6,2,5,394818,Color_Piel
311,6,2,6,104299,Color_Piel
312,6,2,7,31330,Color_Piel
313,6,2,8,9347,Color_Piel
314,6,2,9,2690,Color_Piel
315,6,3,1,17082,Color_Piel
316,6,3,2,63990,Color_Piel
317,6,3,3,162074,Color_Piel
318,6,3,4,134565,Color_Piel
319,6,3,5,448980,Color_Piel
320,6,3,6,150821,Color_Piel
321,6,3,7,77478,Color_Piel
322,6,3,8,19066,Color_Piel
323,6,3,10,4148,Color_Piel
324,6,4,1,15208,Color_Piel
325,6,4,2,18197,Color_Piel
326,6,4,3,27045,Color_Piel
327,6,4,4,130282,Color_Piel
328,6,4,5,237227,Color_Piel
329,6,4,6,254300,Color_Piel
330,6,4,7,123740,Color_Piel
331,6,4,8,44585,Color_Piel
332,6,5,1,58400,Color_Piel
333,6,5,2,32978,Color_Piel
334,6,5,3,57422,Color_Piel
335,6,5,4,54760,Color_Piel
336,6,5,5,374213,Color_Piel
337,6,5,6,211876,Color_Piel
338,6,5,7,192730,Color_Piel
339,6,5,8,81379,Color_Piel
340,6,5,9,6049,Color_Piel
341,6,5,10,613,Color_Piel
342,6,6,1,11695,Color_Piel
343,6,6,2,14652,Color_Piel
344,6,6,3,39615,Color_Piel
345,6,6,4,83824,Color_Piel
346,6,6,5,94928,Color_Piel
347,6,6,6,145256,Color_Piel
348,6,6,7,124442,Color_Piel
349,6,6,8,78428,Color_Piel
350,6,6,9,4080,Color_Piel
351,6,6,10,10194,Color_Piel
352,6,7,1,624,Color_Piel
353,6,7,2,14872,Color_Piel
354,6,7,3,12852,Color_Piel
355,6,7,4,80372,Color_Piel
356,6,7,5,78352,Color_Piel
357,6,7,6,64139,Color_Piel
358,6,7,7,87588,Color_Piel
359,6,7,8,66341,Color_Piel
360,6,7,9,3537,Color_Piel
361,6,7,10,4416,Color_Piel
362,6,8,1,14180,Color_Piel
363,6,8,2,14864,Color_Piel
364,6,8,3,41558,Color_Piel
365,6,8,4,33905,Color_Piel
366,6,8,5,177667,Color_Piel
367,6,8,6,132026,Color_Piel
368,6,8,7,92895,Color_Piel
369,6,8,8,107056,Color_Piel
370,6,8,9,6933,Color_Piel
371,6,8,10,8056,Color_Piel
372,6,9,1,3845,Color_Piel
373,6,9,2,5255,Color_Piel
374,6,9,3,13624,Color_Piel
375,6,9,4,16456,Color_Piel
376,6,9,5,32760,Color_Piel
377,6,9,6,42215,Color_Piel
378,6,9,7,66915,Color_Piel
379,6,9,8,37869,Color_Piel
380,6,9,9,17672,Color_Piel
381,6,9,10,1945,Color_Piel
382,6,10,1,20100,Color_Piel
383,6,10,2,2192,Color_Piel
384,6,10,3,4690,Color_Piel
385,6,10,4,10820,Color_Piel
386,6,10,5,23768,Color_Piel
387,6,10,6,8107,Color_Piel
388,6,10,7,16957,Color_Piel
389,6,10,8,26306,Color_Piel
390,6,10,9,17952,Color_Piel
391,6,10,10,14580,Color_Piel
392,7,1,1,882025,Color_Piel
393,7,1,2,648540,Color_Piel
394,7,1,3,721559,Color_Piel
395,7,1,4,504674,Color_Piel
396,7,1,5,511757,Color_Piel
397,7,1,6,162353,Color_Piel
398,7,1,7,62251,Color_Piel
399,7,1,8,36350,Color_Piel
400,7,1,9,11227,Color_Piel
401,7,1,10,22277,Color_Piel
402,7,2,1,128371,Color_Piel
403,7,2,2,256488,Color_Piel
404,7,2,3,371772,Color_Piel
405,7,2,4,651300,Color_Piel
406,7,2,5,735861,Color_Piel
407,7,2,6,238734,Color_Piel
408,7,2,7,131614,Color_Piel
409,7,2,8,24207,Color_Piel
410,7,2,9,9791,Color_Piel
411,7,3,1,83717,Color_Piel
412,7,3,2,73789,Color_Piel
413,7,3,3,219525,Color_Piel
414,7,3,4,437081,Color_Piel
415,7,3,5,1185312,Color_Piel
416,7,3,6,411034,Color_Piel
