,Variable,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión,Demográfico
764,10,10,1,4454,Color_Piel
765,10,10,2,2384,Color_Piel
766,10,10,4,11061,Color_Piel
767,10,10,5,33701,Color_Piel
768,10,10,6,21553,Color_Piel
769,10,10,7,18349,Color_Piel
770,10,10,8,14553,Color_Piel
771,10,10,9,5624,Color_Piel
772,10,10,10,6275,Color_Piel
773,11,1,1,36125,Color_Piel
774,11,1,2,39853,Color_Piel
775,11,1,3,31927,Color_Piel
776,11,1,4,51260,Color_Piel
777,11,1,5,32072,Color_Piel
778,11,1,6,8585,Color_Piel
779,11,1,7,2336,Color_Piel
780,11,1,8,9313,Color_Piel
781,11,1,10,6755,Color_Piel
782,11,2,1,3880,Color_Piel
783,11,2,2,23139,Color_Piel
784,11,2,3,23997,Color_Piel
785,11,2,4,25015,Color_Piel
786,11,2,5,44296,Color_Piel
787,11,2,6,28708,Color_Piel
788,11,2,7,1193,Color_Piel
789,11,2,8,2152,Color_Piel
790,11,2,9,3168,Color_Piel
791,11,3,1,10793,Color_Piel
792,11,3,2,8191,Color_Piel
793,11,3,3,16024,Color_Piel
794,11,3,4,15788,Color_Piel
795,11,3,5,65048,Color_Piel
796,11,3,6,31187,Color_Piel
797,11,3,7,19568,Color_Piel
798,11,3,8,5120,Color_Piel
799,11,3,9,1194,Color_Piel
800,11,3,10,2580,Color_Piel
801,11,4,1,6349,Color_Piel
802,11,4,2,7644,Color_Piel
803,11,4,3,3348,Color_Piel
804,11,4,4,20892,Color_Piel
805,11,4,5,41506,Color_Piel
806,11,4,6,17946,Color_Piel
807,11,4,7,27178,Color_Piel
808,11,4,8,24429,Color_Piel
809,11,4,10,1127,Color_Piel
810,11,5,1,19966,Color_Piel
811,11,5,3,11222,Color_Piel
812,11,5,4,1268,Color_Piel
813,11,5,5,63779,Color_Piel
814,11,5,6,6745,Color_Piel
815,11,5,7,20658,Color_Piel
816,11,5,8,12491,Color_Piel
817,11,5,10,1805,Color_Piel
818,11,6,1,8861,Color_Piel
819,11,6,3,1142,Color_Piel
820,11,6,4,12140,Color_Piel
821,11,6,5,6277,Color_Piel
822,11,6,6,25167,Color_Piel
823,11,6,7,6820,Color_Piel
824,11,6,8,11121,Color_Piel
825,11,6,9,320,Color_Piel
826,11,7,1,467,Color_Piel
827,11,7,2,1290,Color_Piel
828,11,7,4,4021,Color_Piel
829,11,7,5,19937,Color_Piel
830,11,7,6,25273,Color_Piel
831,11,7,7,55068,Color_Piel
832,11,7,8,27835,Color_Piel
833,11,8,1,7566,Color_Piel
834,11,8,3,5845,Color_Piel
835,11,8,4,10299,Color_Piel
836,11,8,5,19852,Color_Piel
837,11,8,6,29536,Color_Piel
838,11,8,7,13544,Color_Piel
839,11,8,8,40957,Color_Piel
840,11,8,9,2066,Color_Piel
841,11,8,10,10282,Color_Piel
842,11,9,1,773,Color_Piel
843,11,9,3,4926,Color_Piel
844,11,9,4,5291,Color_Piel
845,11,9,5,3739,Color_Piel
846,11,9,6,5411,Color_Piel
847,11,9,7,5849,Color_Piel
848,11,9,8,13531,Color_Piel
849,11,9,9,3490,Color_Piel
850,11,10,1,4038,Color_Piel
851,11,10,2,3383,Color_Piel
852,11,10,4,7059,Color_Piel
853,11,10,5,9715,Color_Piel
854,11,10,6,4682,Color_Piel
855,11,10,7,2609,Color_Piel
856,11,10,8,5382,Color_Piel
857,11,10,10,8562,Color_Piel
